timestamp	cycle	llm_model	status	source	model_name	n_mfcc	cgm_lag_min	feature_key	normalization	exp_key	pers_mae	pers_r	pop_mae	pop_r	temp_mae	temp_r	pers_mard	pop_mard	temp_mard	pop_clarke_ab_pct	pop_bias	temp_bias	signal_gate_pass_rate	signal_gate_penalty	balance	selection_score	temporal_penalty	correlation_penalty	participants	notes
2026-03-22T18:57:53	1	qwen2.5-coder:7b	keep	llm	Ridge	20	15	mfcc+spectral+pitch+temporal	zscore	Ridge|20|mfcc+spectral+pitch+temporal|zscore|lag15	15.3502	0.0594	14.3053	0.0322	13.7077	0.1719	15.2169	14.1700	13.1532	99.62	0.0117	-2.2269	0.0000	0.9000	14.8277	15.9991	0.0000	1.1713	9	Explores strong defaults and temporal context;cache_hit;Explores strong defaults and temporal context
2026-03-22T18:57:53	2	qwen2.5-coder:7b	discard	fallback	Ridge	8	10	mfcc+spectral+pitch+temporal	none	Ridge|8|mfcc+spectral+pitch+temporal|none|lag10	17.5106	0.0786	14.3153	-0.0100	16.7794	0.0894	17.4391	14.2199	16.1686	99.62	0.9933	-1.8256	0.0000	0.9000	15.9130	18.1193	0.8664	1.3399	9	guardrail_fallback_unseen_candidate;cache_hit;guardrail_fallback_unseen_candidate
2026-03-22T18:57:53	3	qwen2.5-coder:7b	discard	fallback	Ridge	8	20	mfcc+spectral+pitch+temporal	none	Ridge|8|mfcc+spectral+pitch+temporal|none|lag20	17.0150	0.0394	13.8118	-0.0114	16.3575	0.0937	16.8919	13.7435	15.7570	99.62	1.5987	-1.8210	0.0000	0.9000	15.4134	17.7029	0.9441	1.3454	9	guardrail_fallback_unseen_candidate;ok
2026-03-22T18:57:53	4	qwen2.5-coder:7b	discard	fallback	Ridge	8	10	mfcc+spectral+pitch+temporal	zscore	Ridge|8|mfcc+spectral+pitch+temporal|zscore|lag10	17.4912	0.0738	12.4631	0.0837	16.7242	0.0982	17.4174	12.4095	16.1304	99.62	-0.0128	-1.6929	0.0000	0.9000	14.9772	17.6895	1.7470	0.9653	9	guardrail_fallback_unseen_candidate;ok
2026-03-22T18:58:40	1	qwen2.5-coder:7b	keep	llm	Ridge	20	15	mfcc+spectral+pitch+temporal	zscore	Ridge|20|mfcc+spectral+pitch+temporal|zscore|lag15	15.3502	0.0594	14.3053	0.0322	13.7077	0.1719	15.2169	14.1700	13.1532	99.62	0.0117	-2.2269	0.0000	0.9000	14.8277	15.9991	0.0000	1.1713	9	Explores a larger n_mfcc and positive lag while using strong defaults.;cache_hit;Explores strong defaults and temporal context
2026-03-22T18:58:40	2	qwen2.5-coder:7b	discard	fallback	Ridge	8	10	mfcc+spectral+pitch+temporal	none	Ridge|8|mfcc+spectral+pitch+temporal|none|lag10	17.5106	0.0786	14.3153	-0.0100	16.7794	0.0894	17.4391	14.2199	16.1686	99.62	0.9933	-1.8256	0.0000	0.9000	15.9130	18.1193	0.8664	1.3399	9	guardrail_fallback_unseen_candidate;cache_hit;guardrail_fallback_unseen_candidate
2026-03-22T18:58:40	3	qwen2.5-coder:7b	discard	fallback	Ridge	8	20	mfcc+spectral+pitch+temporal	none	Ridge|8|mfcc+spectral+pitch+temporal|none|lag20	17.0150	0.0394	13.8118	-0.0114	16.3575	0.0937	16.8919	13.7435	15.7570	99.62	1.5987	-1.8210	0.0000	0.9000	15.4134	17.7029	0.9441	1.3454	9	guardrail_fallback_unseen_candidate;ok
2026-03-22T18:58:40	4	qwen2.5-coder:7b	discard	fallback	Ridge	8	10	mfcc+spectral+pitch+temporal	zscore	Ridge|8|mfcc+spectral+pitch+temporal|zscore|lag10	17.4912	0.0738	12.4631	0.0837	16.7242	0.0982	17.4174	12.4095	16.1304	99.62	-0.0128	-1.6929	0.0000	0.9000	14.9772	17.6895	1.7470	0.9653	9	guardrail_fallback_unseen_candidate;ok
2026-03-22T19:14:26	5	qwen2.5-coder:7b	discard	neighbor	Ridge	20	10	mfcc+spectral+pitch+temporal	zscore	Ridge|20|mfcc+spectral+pitch+temporal|zscore|lag10	15.5444	0.0788	14.7536	0.0308	14.0250	0.1705	15.4473	14.6197	13.4543	99.62	-0.0128	-2.2327	0.0000	0.9000	15.1490	16.3257	0.0000	1.1768	9	guardrail_neighbor_of_best_keep;ok
2026-03-22T19:14:26	6	qwen2.5-coder:7b	discard	neighbor	Ridge	20	0	mfcc+spectral+pitch+temporal	zscore	Ridge|20|mfcc+spectral+pitch+temporal|zscore|lag0	16.5133	0.1014	16.0703	0.0111			16.5172	15.9854		99.62	-0.0490		0.0000	0.9000	16.2918	17.5474	0.0000	1.2555	9	guardrail_neighbor_of_best_keep;early_stop_no_temporal
